id,name,metropolis,street,houseNumber,postalCode,city,state,country,stationCategory,owner,organisationalUnit,countryCode,latitude,longitude,timeZone
6061,Straußfurt,{},Bahnhofstr.,5,99634,Straußfurt,Thüringen,DE,CATEGORY_6,DB S&S,RB Südost,DE,51.1638981,10.9874654,Europe/Berlin
6064,Strohkirchen,{},Bahnhofstr.,47,19230,Strohkirchen,Mecklenburg-Vorpommern,DE,CATEGORY_7,DB S&S,RB Ost,DE,53.398386,11.318463,Europe/Berlin
6065,Strullendorf,{},Kachelmannplatz,1,96129,Strullendorf,Bayern,DE,CATEGORY_6,DB S&S,RB Süd,DE,49.84555,10.96167,Europe/Berlin
6066,Struthütten,{},Birkenstraße,51,57290,Neunkirchen,Nordrhein-Westfalen,DE,CATEGORY_7,DB S&S,RB West,DE,50.78144,7.973309,Europe/Berlin
6067,Stubben,{},Bahnhofstr.,96,27616,Stubben,Niedersachsen,DE,CATEGORY_6,DB S&S,RB Nord,DE,53.405793,8.780519,Europe/Berlin
6069,Stumsdorf,{},Bahnhofstr.,1,06780,Zörbig,Sachsen-Anhalt,DE,CATEGORY_6,DB S&S,RB Südost,DE,51.616234,12.066859,Europe/Berlin
607,Beutersitz,{},Am Bahnhof,2,04924,Uebigau-Wahrenbrück,Brandenburg,DE,CATEGORY_6,DB S&S,RB Ost,DE,51.590359,13.360724,Europe/Berlin
6070,Stuttgart Ebitzweg,{},Ebitzweg,,70374,Stuttgart,Baden-Württemberg,DE,CATEGORY_7,DB S&S,RB Südwest,DE,48.803938,9.231701,Europe/Berlin
6071,Stuttgart Hbf,{},Arnulf-Klett-Platz,2,70173,Stuttgart,Baden-Württemberg,DE,CATEGORY_1,DB S&S,RB Südwest,DE,48.784084,9.181635,Europe/Berlin
6072,Stuttgart Neckarpark,{},Alte Untertürkheimer Strasse,,70372,Stuttgart,Baden-Württemberg,DE,CATEGORY_4,DB S&S,RB Südwest,DE,48.792173,9.241595,Europe/Berlin
6073,Stuttgart Nord,{},Nordbahnhofstrasse,,70174,Stuttgard-Nord,Baden-Württemberg,DE,CATEGORY_5,DB S&S,RB Südwest,DE,48.803769,9.188026,Europe/Berlin
6074,Stuttgart Nürnberger Straße,{},Nürnberger Strasse,,70374,Stuttgart,Baden-Württemberg,DE,CATEGORY_5,DB S&S,RB Südwest,DE,48.806423,9.234858,Europe/Berlin
6075,Stuttgart Österfeld,{},Paradiesstraße,70,70563,Stuttgart,Baden-Württemberg,DE,CATEGORY_4,DB S&S,RB Südwest,DE,48.737651,9.116774,Europe/Berlin
6076,Stuttgart Universität,{},Universitätsstrasse,,70569,Stuttgart,Baden-Württemberg,DE,CATEGORY_4,DB S&S,RB Südwest,DE,48.745837,9.105398,Europe/Berlin
6077,Stuttgart-Bad Cannstatt,{},Bahnhofstr.,30,70372,Stuttgart,Baden-Württemberg,DE,CATEGORY_3,DB S&S,RB Südwest,DE,48.801377,9.217531,Europe/Berlin
6078,Stuttgart-Feuerbach,{},Bahnhof,1,70469,Stuttgart-Feuerbach,Baden-Württemberg,DE,CATEGORY_3,DB S&S,RB Südwest,DE,48.813673,9.169382,Europe/Berlin
6079,Stuttgart Feuersee,{},Feuerseeplatz,14,70176,Stuttgart,Baden-Württemberg,DE,CATEGORY_3,DB S&S,RB Südwest,DE,48.772768,9.166273,Europe/Berlin
6080,Stuttgart-Münster,{},Nagold Str.,81,70376,Stuttgart,Baden-Württemberg,DE,CATEGORY_7,DB S&S,RB Südwest,DE,48.820724,9.21586,Europe/Berlin
6081,Stuttgart-Obertürkheim,{},Obertürkheim,,70329,Stuttgart,Baden-Württemberg,DE,CATEGORY_4,DB S&S,RB Südwest,DE,48.762013,9.267889,Europe/Berlin
6082,Stuttgart-Rohr,{},Egelhaafstraße,,70565,Stuttgart,Baden-Württemberg,DE,CATEGORY_4,DB S&S,RB Südwest,DE,48.717902,9.108328,Europe/Berlin
6083,Stuttgart Schwabstraße,{},Rotebühlstrasse,,70197,Stuttgart,Baden-Württemberg,DE,CATEGORY_3,DB S&S,RB Südwest,DE,48.770255,9.156959,Europe/Berlin
6084,Stuttgart-Sommerrain,{},Sommerrainstr.,90,70374,Stuttgart,Baden-Württemberg,DE,CATEGORY_5,DB S&S,RB Südwest,DE,48.81527,9.248327,Europe/Berlin
6085,Stuttgart Stadtmitte,{},Theodor-Heuss-Strasse,,70173,Stuttgart,Baden-Württemberg,DE,CATEGORY_3,DB S&S,RB Südwest,DE,48.776229,9.172925,Europe/Berlin
6086,Stuttgart-Untertürkheim Pbf,{},Karl-Benz-Platz,15,70327,Stuttgart,Baden-Württemberg,DE,CATEGORY_3,DB S&S,RB Südwest,DE,48.779751,9.250569,Europe/Berlin
6087,Stuttgart-Vaihingen,{},Am Bahnhof,1,70563,Stuttgart,Baden-Württemberg,DE,CATEGORY_3,DB S&S,RB Südwest,DE,48.726279,9.113226,Europe/Berlin
6088,Stuttgart-Weilimdorf,{},Mittlerer Pfad,,70499,Stuttgart,Baden-Württemberg,DE,CATEGORY_5,DB S&S,RB Südwest,DE,48.82208,9.094328,Europe/Berlin
6089,Stuttgart-Zazenhausen,{},Züttlingerstr.,1,70437,Stuttgart,Baden-Württemberg,DE,CATEGORY_7,DB S&S,RB Südwest,DE,48.836034,9.199539,Europe/Berlin
609,Bexbach,{},Bahnhofstr.,39,66450,Bexbach,Saarland,DE,CATEGORY_5,DB S&S,RB Mitte,DE,49.345698,7.254456,Europe/Berlin
6090,Stuttgart-Zuffenhausen,{},Am Bahnhof,1,70435,Stuttgart,Baden-Württemberg,DE,CATEGORY_3,DB S&S,RB Südwest,DE,48.829415,9.166739,Europe/Berlin
6091,Allee-Center Leipzig,{},Breisgaustr.,4,04209,Leipzig,Sachsen,DE,CATEGORY_6,DB S&S,RB Südost,DE,51.319158,12.291748,Europe/Berlin
6093,Subzin-Liessow,{},Gü31/Breesener Straße,11,18299,Laage,Mecklenburg-Vorpommern,DE,CATEGORY_7,DB S&S,RB Ost,DE,53.891919,12.347623,Europe/Berlin
6094,Süderbrarup,{},Bahnhofstr.,15,24392,Süderbrarup,Schleswig-Holstein,DE,CATEGORY_6,DB S&S,RB Nord,DE,54.637409,9.770907,Europe/Berlin
6095,Suderburg,{},Am Bahnhof,1,29556,Suderburg,Niedersachsen,DE,CATEGORY_6,DB S&S,RB Nord,DE,52.904892,10.43279,Europe/Berlin
6096,Süderdeich,{},Bahnhofstr.,16,25764,Süderdeich,Schleswig-Holstein,DE,CATEGORY_7,DB S&S,RB Nord,DE,54.198185,8.911247,Europe/Berlin
