id,description,operatorname,state,stateExplanation,type
4718,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4728,von EG zu Tunnel,DB Station&Service,ACTIVE,available,ELEVATOR
4728,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4731,Personenaufzug Gl. 5/6,DB Station&Service,ACTIVE,available,ELEVATOR
4731,Personenaufzug Gl. 2/4,DB Station&Service,ACTIVE,available,ELEVATOR
4743,zu Gleis 1,DB Station&Service,UNKNOWN,monitoring disrupted,ESCALATOR
4743,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4743,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ESCALATOR
4743,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4745,zu Gleis 7,DB Station&Service,ACTIVE,available,ELEVATOR
4745,zu Gleis 5/6,DB Station&Service,ACTIVE,available,ELEVATOR
4745,zum Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4745,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ELEVATOR
4749,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
475,zu Gleis 3/4 (S-Bahn),DB Station&Service,ACTIVE,available,ESCALATOR
475,zu Gleis 3/4 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
4750,zu Gleis 1 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
4750,zu Gleis 2 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
4751,zu Gleis 2/5 (S-Bahn),DB Station&Service,ACTIVE,available,ESCALATOR
4751,zu Gleis 2/5 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
4756,zu Gl 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4762,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ESCALATOR
4762,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ESCALATOR
4762,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ESCALATOR
4762,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ELEVATOR
4762,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4762,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ELEVATOR
4762,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4762,zum Ausgang,DB Station&Service,ACTIVE,available,ESCALATOR
4762,zum Ausgang,DB Station&Service,ACTIVE,available,ESCALATOR
4762,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ESCALATOR
4762,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ESCALATOR
